Provinsi;Tahun;UMR/UMP
ACEH;2016;2.118.500,00
SUMATERA UTARA;2016;1.811.875,00
SUMATERA BARAT;2016;1.800.725,00
RIAU;2016;2.095.000,00
JAMBI;2016;1.906.650,00
SUMATERA SELATAN;2016;2.206.000,00
BENGKULU;2016;1.605.000,00
LAMPUNG;2016;1.763.000,00
KEP. BANGKA BELITUNG;2016;2.341.500,00
KEP. RIAU;2016;2.178.710,00
DKI JAKARTA;2016;3.100.000,00
JAWA BARAT;2016;1.312.355,00
JAWA TENGAH;2016;
DI YOGYAKARTA;2016;1182510
JAWA TIMUR;2016;
BANTEN;2016;1.784.000,00
BALI;2016;1.807.600,00
NUSA TENGGARA BARAT;2016;1.482.950,00
NUSA TENGGARA TIMUR;2016;1.425.000,00
KALIMANTAN BARAT;2016;1.739.400,00
KALIMANTAN TENGAH;2016;2.057.558,00
KALIMANTAN SELATAN;2016;2.085.050,00
KALIMANTAN TIMUR;2016;2.161.253,00
KALIMANTAN UTARA;2016;2.175.340,00
SULAWESI UTARA;2016;2.400.000,00
SULAWESI TENGAH;2016;1.670.000,00
SULAWESI SELATAN;2016;2.250.000,00
SULAWESI TENGGARA;2016;1.850.000,00
GORONTALO;2016;1.875.000,00
SULAWESI BARAT;2016;1.864.000,00
MALUKU;2016;1.775.000,00
MALUKU UTARA;2016;1.681.266,00
PAPUA BARAT;2016;2.237.000,00
PAPUA;2016;2.435.000,00
INDONESIA;2016;
ACEH;2017;2.500.000,00
SUMATERA UTARA;2017;1.961.354,69
SUMATERA BARAT;2017;1.949.284,81
RIAU;2017;2.266.722,53
JAMBI;2017;2.063.948,63
SUMATERA SELATAN;2017;2.388.000,00
BENGKULU;2017;1.737.412,50
LAMPUNG;2017;1.908.447,50
KEP. BANGKA BELITUNG;2017;2.534.673,75
KEP. RIAU;2017;2.358.454,00
DKI JAKARTA;2017;3.355.750,00
JAWA BARAT;2017;1.420.624,29
JAWA TENGAH;2017;1.367.000,00
DI YOGYAKARTA;2017;1.337.645,25
JAWA TIMUR;2017;1.388.000,00
BANTEN;2017;1.931.180,00
BALI;2017;1.956.727,00
NUSA TENGGARA BARAT;2017;1.631.245,00
NUSA TENGGARA TIMUR;2017;1.525.000,00
KALIMANTAN BARAT;2017;1.882.900,00
KALIMANTAN TENGAH;2017;2.227.307,00
KALIMANTAN SELATAN;2017;2.258.000,00
KALIMANTAN TIMUR;2017;2.339.556,37
KALIMANTAN UTARA;2017;2.354.800,00
SULAWESI UTARA;2017;2.598.000,00
SULAWESI TENGAH;2017;1.807.775,00
SULAWESI SELATAN;2017;2.435.625,00
SULAWESI TENGGARA;2017;2.002.625,00
GORONTALO;2017;2.030.000,00
SULAWESI BARAT;2017;2.017.780,00
MALUKU;2017;1.925.000,00
MALUKU UTARA;2017;1.975.152,00
PAPUA BARAT;2017;2.421.500,00
PAPUA;2017;2.663.646,50
INDONESIA;2017;2074151,083
ACEH;2018;2700000
SUMATERA UTARA;2018;2132189
SUMATERA BARAT;2018;2119067
RIAU;2018;2464154
JAMBI;2018;2243719
SUMATERA SELATAN;2018;2595995
BENGKULU;2018;1888741
LAMPUNG;2018;2074673
KEP. BANGKA BELITUNG;2018;2755444
KEP. RIAU;2018;2563875
DKI JAKARTA;2018;3648036
JAWA BARAT;2018;1544361
JAWA TENGAH;2018;1486065
DI YOGYAKARTA;2018;1454154
JAWA TIMUR;2018;1508895
BANTEN;2018;2099385
BALI;2018;2127157
NUSA TENGGARA BARAT;2018;1825000
NUSA TENGGARA TIMUR;2018;1660000
KALIMANTAN BARAT;2018;2046900
KALIMANTAN TENGAH;2018;2421305
KALIMANTAN SELATAN;2018;2454671
KALIMANTAN TIMUR;2018;2543332
KALIMANTAN UTARA;2018;2559903
SULAWESI UTARA;2018;2824286
SULAWESI TENGAH;2018;1965232
SULAWESI SELATAN;2018;2647767
SULAWESI TENGGARA;2018;2177052
GORONTALO;2018;2206813
SULAWESI BARAT;2018;2193530
MALUKU;2018;2222220
MALUKU UTARA;2018;2320803
PAPUA BARAT;2018;2667000
PAPUA;2018;3000000
INDONESIA;2018;2268874
ACEH;2019;2916810
SUMATERA UTARA;2019;2303403
SUMATERA BARAT;2019;2289220
RIAU;2019;2662026
JAMBI;2019;2423889
SUMATERA SELATAN;2019;2804453
BENGKULU;2019;2040407
LAMPUNG;2019;2241270
KEP. BANGKA BELITUNG;2019;2976706
KEP. RIAU;2019;2769754
DKI JAKARTA;2019;3940973
JAWA BARAT;2019;1668373
JAWA TENGAH;2019;1605396
DI YOGYAKARTA;2019;1570923
JAWA TIMUR;2019;1630059
BANTEN;2019;2267990
BALI;2019;2297969
NUSA TENGGARA BARAT;2019;2012610
NUSA TENGGARA TIMUR;2019;1795000
KALIMANTAN BARAT;2019;2211500
KALIMANTAN TENGAH;2019;2663435
KALIMANTAN SELATAN;2019;2651782
KALIMANTAN TIMUR;2019;2747561
KALIMANTAN UTARA;2019;2765463
SULAWESI UTARA;2019;3051076
SULAWESI TENGAH;2019;2123040
SULAWESI SELATAN;2019;2860382
SULAWESI TENGGARA;2019;2351870
GORONTALO;2019;2384020
SULAWESI BARAT;2019;2381000
MALUKU;2019;2400664
MALUKU UTARA;2019;2508091
PAPUA BARAT;2019;2934500
PAPUA;2019;3240900
INDONESIA;2019;2455662
ACEH;2020;3165031
SUMATERA UTARA;2020;2499423
SUMATERA BARAT;2020;2484041
RIAU;2020;2888564
JAMBI;2020;2630162
SUMATERA SELATAN;2020;3043111
BENGKULU;2020;2213604
LAMPUNG;2020;2432002
KEP. BANGKA BELITUNG;2020;3230024
KEP. RIAU;2020;3005460
DKI JAKARTA;2020;4276350
JAWA BARAT;2020;1810351
JAWA TENGAH;2020;1742015
DI YOGYAKARTA;2020;1704608
JAWA TIMUR;2020;1768777
BANTEN;2020;2460997
BALI;2020;2494000
NUSA TENGGARA BARAT;2020;2183883
NUSA TENGGARA TIMUR;2020;1950000
KALIMANTAN BARAT;2020;2399699
KALIMANTAN TENGAH;2020;2903145
KALIMANTAN SELATAN;2020;2877449
KALIMANTAN TIMUR;2020;2981379
KALIMANTAN UTARA;2020;3000804
SULAWESI UTARA;2020;3310723
SULAWESI TENGAH;2020;2303711
SULAWESI SELATAN;2020;3103800
SULAWESI TENGGARA;2020;2552015
GORONTALO;2020;2788826
SULAWESI BARAT;2020;2678863
MALUKU;2020;2604961
MALUKU UTARA;2020;2721530
PAPUA BARAT;2020;3134600
PAPUA;2020;3516700
INDONESIA;2020;2672371
ACEH;2021;3.165.031,00
SUMATERA UTARA;2021;2.499.423,06
SUMATERA BARAT;2021;2.484.041,00
RIAU;2021;2.888.564,01
JAMBI;2021;2.630.162,13
SUMATERA SELATAN;2021;3.144.446,00
BENGKULU;2021;2.215.000,00
LAMPUNG;2021;2.432.001,57
KEP. BANGKA BELITUNG;2021;3.230.023,66
KEP. RIAU;2021;3.005.460,00
DKI JAKARTA;2021;4.416.186,55
JAWA BARAT;2021;1.810.351,36
JAWA TENGAH;2021;1.798.979,12
DI YOGYAKARTA;2021;1.765.000,00
JAWA TIMUR;2021;1.868.777,08
BANTEN;2021;2.460.996,54
BALI;2021;2.494.000,00
NUSA TENGGARA BARAT;2021;2.183.883,00
NUSA TENGGARA TIMUR;2021;1.950.000,00
KALIMANTAN BARAT;2021;2.399.698,65
KALIMANTAN TENGAH;2021;2.903.144,70
KALIMANTAN SELATAN;2021;2.877.448,59
KALIMANTAN TIMUR;2021;2.981.378,72
KALIMANTAN UTARA;2021;3.000.804,00
SULAWESI UTARA;2021;3.310.723,00
SULAWESI TENGAH;2021;2.303.711,00
SULAWESI SELATAN;2021;3.165.876,00
SULAWESI TENGGARA;2021;2.552.014,52
GORONTALO;2021;2.788.826,00
SULAWESI BARAT;2021;2.678.863,10
MALUKU;2021;2.604.961,00
